module,doctype,fieldname,label,fieldtype,pg_type,options,reqd,unique,index,read_only,default,fetch_from
Accounts,Applicable On Account,is_mandatory,Is Mandatory,Check,smallint,,0,0,0,0,0,
Accounts,Bank,bank_name,Bank Name,Data,varchar(140),,1,1,0,0,,
Accounts,Bank,swift_number,SWIFT number,Data,varchar(140),,0,1,0,0,,
Accounts,Bank,website,Website,Data,varchar(140),,0,0,0,0,,
Accounts,Bank,plaid_access_token,Plaid Access Token,Data,varchar(140),,0,0,0,1,,
Accounts,Bank Account,account_name,Account Name,Data,varchar(140),,1,0,0,0,,
Accounts,Bank Account,account,Company Account,Link,varchar(140),Account,0,0,0,0,,
Accounts,Bank Account,bank,Bank,Link,varchar(140),Bank,1,0,0,0,,
Accounts,Bank Account,account_type,Account Type,Link,varchar(140),Bank Account Type,0,0,0,0,,
Accounts,Bank Account,account_subtype,Account Subtype,Link,varchar(140),Bank Account Subtype,0,0,0,0,,
Accounts,Bank Account,is_default,Is Default Account,Check,smallint,,0,0,0,0,0,
Accounts,Bank Account,is_company_account,Is Company Account,Check,smallint,,0,0,0,0,0,
Accounts,Bank Account,company,Company,Link,varchar(140),Company,0,0,0,0,,
Accounts,Bank Account,party_type,Party Type,Link,varchar(140),DocType,0,0,0,0,,
Accounts,Bank Account,party,Party,Dynamic Link,varchar(140),party_type,0,0,0,0,,
Accounts,Bank Account,iban,IBAN,Data,varchar(140),IBAN,0,0,0,0,,
Accounts,Bank Account,bank_account_no,Bank Account No,Data,varchar(140),,0,0,0,0,,
Accounts,Bank Account,statement_password,Statement PDF Password,Password,text,,0,0,0,0,,
Accounts,Bank Account,integration_id,Integration ID,Data,varchar(140),,0,1,0,1,,
Accounts,Bank Account,last_integration_date,Last Integration Date,Date,date,,0,0,0,0,,
Accounts,Bank Account,mask,Mask,Data,varchar(140),,0,0,0,1,,
Accounts,Bank Account,branch_code,Branch Code,Data,varchar(140),,0,0,0,0,,
Accounts,Bank Account,disabled,Disabled,Check,smallint,,0,0,0,0,0,
Accounts,Bank Account,is_credit_card,Is Credit Card,Check,smallint,,0,0,0,0,0,
Accounts,Bank Account Balance,bank_account,Bank Account,Link,varchar(140),Bank Account,1,0,0,0,,
Accounts,Bank Account Balance,date,Date,Date,date,,1,0,0,0,,
Accounts,Bank Account Balance,balance,Balance,Currency,"numeric(21,9)",,1,0,0,0,,
Accounts,Bank Account Balance,company,Company,Link,varchar(140),Company,0,0,0,1,,bank_account.company
